age,education_level,gender,income_level,jeanstype,purchase_frequency,purchase_channel,brand_preference,sustainable_purchase_history,barrier_awareness,barrier_unimportant,barrier_doubt,barrier_new_concept,barrier_style,barrier_habit,barrier_variety,barrier_other_text,importance_durability,importance_organic_materials,importance_recycled_materials,importance_biodegradable,importance_eco_friendly_dyeing,importance_ethical_production
30.0,2,0,5,Comfort Fit Rahat Kesim,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,6.0,6.0,3.0,1.0,3.0,3.0
27.0,2,1,2,Bootcut Jeans,Yılda 5'ten fazla,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Mağazalarda deneme imkanım yok,Nereden alabileceğimi bilmiyorum,,,,,,,4.0,5.0,5.0,4.0,4.0,5.0
32.0,3,1,7,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,6.0,3.0,2.0,2.0,2.0,2.0
40.0,3,1,3,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,4.0,5.0,5.0,5.0,5.0,5.0
27.0,1,1,2,Boyfriend Jeans,Yılda 4-5 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,,6.0,6.0,6.0,3.0,3.0,6.0
37.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Çok pahalılar,,,,,,,,6.0,7.0,3.0,5.0,6.0,6.0
36.0,3,1,2,Bootcut Jeans,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
37.0,2,0,1,Comfort Fit Rahat Kesim,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
24.0,2,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,6.0,7.0,7.0,7.0,7.0,7.0
37.0,3,0,1,Comfort Fit Rahat Kesim,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,Çok pahalılar,,,,,,,,7.0,7.0,5.0,6.0,7.0,7.0
38.0,3,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,5.0,7.0,6.0,5.0,6.0,6.0
24.0,2,1,2,Skinny Jeans,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,,,,,7.0,4.0,5.0,5.0,7.0,7.0
